,time,country,category,peak
0,2022-02-27T08:00:00Z,US,cases,1
1,2022-02-26T08:00:00Z,US,cases,1
2,2022-02-25T08:00:00Z,US,cases,1
3,2022-02-24T08:00:00Z,US,cases,1
4,2022-02-23T18:04:01Z,US,other,1
5,2022-02-23T08:00:00Z,US,cases,1
6,2022-02-22T08:00:00Z,US,cases,1
7,2022-02-21T08:00:00Z,US,cases,1
8,2022-02-20T08:00:00Z,US,cases,1
9,2022-02-19T08:00:00Z,US,cases,1
10,2022-02-18T08:00:00Z,US,cases,1
11,2022-02-17T08:00:00Z,US,cases,1
12,2022-02-16T18:00:35Z,US,other,1
13,2022-02-16T08:00:00Z,US,cases,1
14,2022-02-15T08:00:00Z,US,cases,1
15,2022-02-14T08:00:00Z,US,cases,1
16,2022-02-13T08:00:00Z,US,cases,1
17,2022-02-12T08:00:00Z,US,cases,1
18,2022-02-11T08:00:00Z,US,cases,1
19,2022-02-10T08:00:00Z,US,cases,1
20,2022-02-09T18:21:59Z,US,live,1
21,2022-02-09T18:15:03Z,US,live,1
22,2022-02-09T08:00:00Z,US,cases,1
23,2022-02-08T19:00:40Z,US,live,0
24,2022-02-08T18:02:45Z,US,live,1
25,2022-02-08T08:00:00Z,US,cases,1
26,2022-02-07T18:02:00Z,US,other,1
27,2022-02-07T08:00:00Z,US,cases,1
28,2022-02-06T08:00:00Z,US,cases,1
29,2022-02-05T08:00:00Z,US,cases,1
30,2022-02-04T08:00:00Z,US,cases,1
31,2022-02-03T08:00:00Z,US,cases,1
32,2022-02-02T18:01:20Z,US,other,1
33,2022-02-02T08:00:00Z,US,cases,1
34,2022-02-01T08:00:00Z,US,cases,1
35,2022-01-31T08:00:00Z,US,cases,1
36,2022-01-30T08:00:00Z,US,cases,1
37,2022-01-29T08:00:00Z,US,cases,1
38,2022-01-28T08:00:00Z,US,cases,1
39,2022-01-27T08:00:00Z,US,cases,1
40,2022-01-26T08:00:00Z,US,cases,1
41,2022-01-25T08:00:00Z,US,cases,1
42,2022-01-24T18:01:13Z,US,other,1
43,2022-01-24T08:00:00Z,US,cases,1
44,2022-01-23T08:00:00Z,US,cases,1
45,2022-01-22T08:00:00Z,US,cases,1
46,2022-01-21T08:00:00Z,US,cases,1
47,2022-01-20T19:08:30Z,US,live,0
48,2022-01-20T08:00:00Z,US,cases,1
49,2022-01-19T16:08:11Z,US,live,0
50,2022-01-19T08:00:00Z,US,cases,1
51,2022-01-18T08:00:00Z,US,cases,1
52,2022-01-17T08:00:00Z,US,cases,1
53,2022-01-16T08:00:00Z,US,cases,1
54,2022-01-15T08:00:00Z,US,cases,1
55,2022-01-14T08:00:00Z,US,cases,1
56,2022-01-13T18:15:17Z,US,live,1
57,2022-01-13T15:41:05Z,US,president speech,0
